k,n,x,y,K,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf,SM,sqrt_Diag,sqrt_sumDelta2,c_M,c_M_all,tri_absR,tri_absMDelta
6,327,107583,715,150,20,0.133333,54.881408426,100.895596130,87.322474245,0.543942556,0.628491221,16.914947858,36.176896837,21.423405715,0.467562155,0.789554569,422.498062,114.238661
6,327,107583,715,150,21,0.140000,42.225921570,101.686197028,88.234776907,0.415257162,0.478563250,9.620179517,36.905033666,21.731675584,0.260673913,0.442680063,435.153549,121.533430
6,327,107583,715,150,22,0.146667,25.923050544,102.984786594,89.728253407,0.251717282,0.288906220,12.759372626,37.038305081,21.957237009,0.344491266,0.581101011,451.456420,124.672623
6,327,107583,715,150,23,0.153333,39.086728461,103.822679055,90.688708646,0.376475822,0.430998843,11.026825288,37.078804775,21.974318809,0.297388909,0.501805102,464.620098,126.405170
6,327,107583,715,150,24,0.160000,39.086728461,104.766350646,90.688708646,0.373084757,0.430998843,17.709042007,37.676116889,22.226868700,0.470033631,0.796740299,478.650049,133.087387
6,327,107583,715,150,25,0.166667,39.086728461,105.310206519,90.688708646,0.371158027,0.430998843,15.481379037,37.741916567,22.254759329,0.410190590,0.695643516,489.338893,135.315050
6,327,107583,715,150,26,0.173333,27.284053749,105.969536790,91.453512815,0.257470728,0.298337952,13.895173852,37.775234123,22.311216006,0.367838193,0.622788729,501.141567,136.901255
6,327,107583,715,150,27,0.180000,27.284053749,106.812006967,91.453512815,0.255439950,0.298337952,14.061535835,37.775600450,22.311836231,0.372238579,0.630227637,514.530447,137.067617
6,327,107583,715,150,28,0.186667,27.284053749,107.627319080,91.453512815,0.253504909,0.298337952,16.209712800,37.836631108,22.415010601,0.428413216,0.723163289,527.752965,139.215794
6,327,107583,715,150,29,0.193333,38.358394698,108.195567561,92.121582887,0.354528338,0.416388793,14.203354370,37.889789228,22.437447912,0.374859683,0.633020049,538.827306,141.222152
6,327,107583,715,150,30,0.200000,50.435914862,108.867567866,92.909916193,0.463277685,0.542847491,11.806398726,37.965530737,22.451669118,0.310976786,0.525858397,550.904826,143.619108
6,327,107583,715,150,31,0.206667,63.312420241,109.626418914,93.797957961,0.577528855,0.674987192,13.395212701,37.998761216,22.455182404,0.352517089,0.596531013,563.781332,145.207922
6,327,107583,715,150,32,0.213333,63.312420241,110.334422097,93.797957961,0.573822920,0.674987192,11.242179080,38.059708456,22.461632596,0.295382690,0.500505875,576.260633,147.360956
6,327,107583,715,150,33,0.220000,50.294859951,111.099692058,94.696957679,0.452700264,0.531113788,4.909568934,38.582941295,22.560600862,0.127247140,0.217616940,589.278194,153.693566
6,327,107583,715,150,34,0.226667,35.166429612,112.124979286,95.897774730,0.313635997,0.366707462,11.532138565,39.147181093,22.802309497,0.294584137,0.505744322,604.406624,160.316135
6,327,107583,715,150,35,0.233333,23.349284088,112.745979566,96.623124181,0.207096379,0.241653168,12.135346400,39.151828146,22.810286672,0.309956060,0.532012007,616.223770,160.919343
6,327,107583,715,150,36,0.240000,23.349284088,113.302287297,96.623124181,0.206079547,0.241653168,13.274702098,39.168402809,22.838723902,0.338913541,0.581236594,627.437707,162.058699
