k,n,x,y,K,MK,Ry,S_K,absS_K,E,SM_K,boundary_MK_Ry,identity_resid,sqrt_sumR2_all,sqrt_sumR2_sf,sqrt_Diag,sqrt_sumDelta2,c_all_K,c_sf_K,c_M_K,c_M_all_K,tri_absR,tri_absMDelta,absS_over_sqrtx,absS_over_x34,absE_over_sqrtx
6,258,67080,715,93,0,-7.328810502,12.448426782,12.448426782,12.448426782,12.448426782,-0.000000000,0.000e+00,113.985407341,94.245789139,33.811993755,18.798600737,0.109210706,0.132084700,0.368166009,0.662199647,1001.623191,207.501073,0.048063782,0.002986549,0.048063782
6,259,67599,715,94,1,-7.328810502,2.362463658,2.362463658,9.691274160,9.691274160,-7.328810502,0.000e+00,113.589751564,92.804352061,29.888560290,18.095792455,0.020798211,0.025456389,0.324246938,0.535554007,1014.677964,209.546776,0.009086466,0.000563521,0.037274407
6,260,68120,715,95,2,-7.328810502,0.882260761,0.882260761,15.539881765,15.539881765,-14.657621004,0.000e+00,113.896752001,93.681456092,33.776524786,17.090355704,0.007746145,0.009417667,0.460079356,0.909277843,1022.587733,235.616051,0.003380334,0.000209238,0.059540214
6,261,68643,715,95,2,-7.328810502,-22.030278347,22.030278347,-7.372657343,-7.372657343,-14.657621004,0.000e+00,115.271391910,95.512309740,40.804942329,23.933842897,0.191116616,0.230653812,0.180680499,0.308043191,1024.156536,263.240363,0.084085644,0.005194847,0.028140118
6,262,69168,715,96,2,-7.328810502,-29.380848680,29.380848680,-14.723227676,-14.723227676,-14.657621004,0.000e+00,116.526927932,95.811652369,40.788469151,24.514859181,0.252137847,0.306652145,0.360965439,0.600583816,1037.889544,255.808556,0.111715061,0.006888671,0.055982259
6,263,69695,715,97,1,-7.328810502,-42.189082830,42.189082830,-34.860272327,-34.860272327,-7.328810502,0.000e+00,117.379815734,97.902110565,43.167502650,30.993377920,0.359423659,0.430931290,0.807558237,1.124765181,1041.548246,262.216991,0.159808278,0.009835555,0.132047433
6,264,70224,715,98,1,-7.328810502,-20.002799430,20.002799430,-12.673988928,-12.673988928,-7.328810502,0.000e+00,117.676687437,97.626201836,40.454647795,26.098358090,0.169980987,0.204891710,0.313288821,0.485623995,1053.009199,260.103743,0.075482799,0.004636888,0.047826714
6,265,70755,715,98,1,-7.328810502,-14.497193584,14.497193584,-7.168383082,-7.168383082,-7.328810502,0.000e+00,118.816261326,99.026067011,38.965894829,25.589957848,0.122013548,0.146397752,0.183965571,0.280124849,1057.532119,248.279769,0.054501113,0.003341689,0.026948999
6,266,71288,715,99,1,-7.328810502,-8.343340836,8.343340836,-1.014530334,-1.014530334,-7.328810502,0.000e+00,118.477362891,98.186015514,34.528119023,24.362088635,0.070421392,0.084974839,0.029382728,0.041643816,1067.711515,219.142669,0.031248687,0.001912395,0.003799766
6,267,71823,715,100,1,-7.328810502,-3.210868199,3.210868199,4.117942303,4.117942303,-7.328810502,0.000e+00,118.670824808,97.832210389,31.217214065,21.212582103,0.027056930,0.032820154,0.131912550,0.194127348,1074.952274,215.665035,0.011980935,0.000731855,0.015365563
6,268,72360,715,101,0,-7.328810502,-2.430449864,2.430449864,-2.430449864,-2.430449864,-0.000000000,0.000e+00,117.853434868,96.706220023,32.216774141,23.951860750,0.020622648,0.025132301,0.075440510,0.101472278,1088.783278,221.915105,0.009035192,0.000550887,0.009035192
6,269,72899,715,101,0,-7.328810502,11.895449455,11.895449455,11.895449455,11.895449455,-0.000000000,0.000e+00,119.372478262,99.453550227,28.886998812,22.517484291,0.099649849,0.119608093,0.411792500,0.528276130,1088.532444,209.028924,0.044057522,0.002681265,0.044057522
