k,n,x,K,Kext,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf
6,173,30275,42,2295,9,0.214286,25.757568842,52.801919785,46.725410200,0.487815006,0.551253991
6,173,30275,42,2295,9,0.214286,25.757568842,52.801919785,46.725410200,0.487815006,0.551253991
6,173,30275,42,2295,10,0.238095,14.674021623,53.952643605,48.021963489,0.271979659,0.305568964
6,173,30275,42,2295,10,0.238095,14.674021623,53.952643605,48.021963489,0.271979659,0.305568964
6,173,30275,42,2295,11,0.261905,24.246102983,54.795186773,48.966659258,0.442485999,0.495155343
6,173,30275,42,2295,11,0.261905,24.246102983,54.795186773,48.966659258,0.442485999,0.495155343
6,173,30275,42,2295,12,0.285714,24.246102983,56.174791770,48.966659258,0.431618921,0.495155343
6,173,30275,42,2295,12,0.285714,24.246102983,56.174791770,48.966659258,0.431618921,0.495155343
6,173,30275,42,2295,13,0.309524,36.725916440,57.544356581,50.531964763,0.638219256,0.726785840
6,173,30275,42,2295,14,0.333333,27.759356071,58.238751525,51.321327610,0.476647513,0.540893180
6,173,30275,42,2295,14,0.333333,27.759356071,58.238751525,51.321327610,0.476647513,0.540893180
6,173,30275,42,2295,15,0.357143,17.629449961,59.113172618,52.311506053,0.298232174,0.337009031
6,173,30275,42,2295,16,0.380952,17.629449961,59.872095775,52.311506053,0.294451860,0.337009031
6,173,30275,42,2295,17,0.404762,27.228884324,60.636762716,53.184986656,0.449049110,0.511965614
6,173,30275,42,2295,18,0.428571,27.228884324,61.205104031,53.184986656,0.444879308,0.511965614
6,173,30275,42,2295,19,0.452381,36.659268113,61.927351774,54.014580846,0.591972159,0.678692078
6,173,30275,42,2295,20,0.476190,36.659268113,62.513805805,54.014580846,0.586418754,0.678692078
6,173,30275,42,2295,21,0.500000,25.982692778,63.418965437,55.059642252,0.409699096,0.471900865
6,173,30275,42,2295,22,0.523810,16.271427739,64.158193910,55.909506111,0.253614180,0.291031506
6,173,30275,42,2295,23,0.547619,23.654895943,64.581649472,56.394933072,0.366278906,0.419450732
6,173,30275,42,2295,24,0.571429,23.654895943,65.165434141,56.394933072,0.362997596,0.419450732
6,173,30275,42,2295,25,0.595238,23.654895943,65.880499354,56.394933072,0.359057630,0.419450732
6,173,30275,42,2295,27,0.642857,15.613556404,66.730697367,56.965354540,0.233978619,0.274088637
6,173,30275,42,2295,28,0.666667,15.613556404,67.235442592,56.965354540,0.232222111,0.274088637
