k,n_samples,Kprime_over_K,mean_Kprime,rms_S,C_rms_all,C_rms_sf
8,134,50.549843754,315123.642,2409.898008,0.433083916,0.551062569
8,134,53.614654566,334229.336,2145.829471,0.383553012,0.488079849
8,134,56.865283268,354493.515,1993.410152,0.353609911,0.450029554
8,134,60.312995902,375986.239,2122.834664,0.373328376,0.475187142
8,134,63.969741566,398782.127,2253.081871,0.393413853,0.500806295
8,134,67.848193823,422960.067,2663.639641,0.460095802,0.585784072
8,134,71.961794628,448603.940,2785.129474,0.476660446,0.606954613
8,134,76.324800918,475802.507,2627.147288,0.447097863,0.569356799
8,134,80.952334016,504650.239,2343.425786,0.395430287,0.503620882
8,134,85.860432046,535246.888,2164.001434,0.362295743,0.461470722
8,134,91.066105514,567698.634,2184.537583,0.362677028,0.462009133
8,134,96.587396265,602117.910,2472.301285,0.406803760,0.518283252
8,134,102.443440011,638624.000,2576.444690,0.419972903,0.535127267
8,134,108.654532652,677343.433,2679.579968,0.433458301,0.552364629
8,134,115.242200619,718410.396,2636.587237,0.422600762,0.538591311
8,134,122.229275479,761967.254,2693.969067,0.427760208,0.545230599
9,134,0.001000000,7.015,1051.192545,0.433086642,0.471215296
9,134,0.001065801,7.470,1096.218580,0.447529995,0.488287165
9,134,0.001135932,7.970,1070.444961,0.432046993,0.472670961
9,134,0.001210677,8.515,1131.532893,0.449485293,0.493115063
9,134,0.001290341,9.082,1154.431293,0.451790001,0.497355505
9,134,0.001375247,9.672,1165.155935,0.450271520,0.496632915
9,134,0.001465740,10.284,1203.782085,0.459169985,0.508068255
9,134,0.001562187,10.978,1220.129979,0.460557766,0.510726051
9,134,0.001664981,11.709,1184.137702,0.442139641,0.491609721
9,134,0.001774538,12.478,1169.006931,0.431540204,0.481004299
9,134,0.001891305,13.291,1194.766566,0.436291632,0.487256993
9,134,0.002015755,14.164,1184.056212,0.428484761,0.479675825
9,134,0.002148393,15.082,1282.499394,0.455711193,0.512518538
9,134,0.002289760,16.082,1356.398209,0.473868888,0.535741735
9,134,0.002440429,17.164,1301.679309,0.451356427,0.511300046
9,134,0.002601011,18.276,1279.091265,0.440495261,0.499925619
9,134,0.002772161,19.470,1279.915109,0.436034138,0.496113904
9,134,0.002954572,20.761,1320.118302,0.444803171,0.507192613
9,134,0.003148986,22.134,1321.493000,0.439276589,0.501912674
9,134,0.003356192,23.560,1352.029841,0.444797682,0.509150662
9,134,0.003577034,25.127,1397.644075,0.454461718,0.520918627
9,134,0.003812406,26.799,1358.654951,0.437400093,0.502138536
9,134,0.004063267,28.552,1398.313161,0.445780819,0.512759643
9,134,0.004330634,30.418,1329.116065,0.420231363,0.484235287
9,134,0.004615594,32.425,1269.260337,0.398450414,0.459872368
9,134,0.004919305,34.567,1362.398205,0.422305843,0.488702711
9,134,0.005243001,36.851,1436.443747,0.439648865,0.510161901
9,134,0.005587996,39.246,1444.355086,0.437725359,0.508910502
9,134,0.005955692,41.851,1468.998410,0.440159990,0.512680744
9,134,0.006347583,44.612,1406.427585,0.418445098,0.487988480
9,134,0.006765260,47.522,1389.240747,0.410432955,0.479269598
9,134,0.007210422,50.672,1360.166295,0.398251956,0.465703623
9,134,0.007684875,53.985,1398.224710,0.405007506,0.474379072
9,134,0.008190548,57.560,1493.883905,0.426956229,0.501152126
9,134,0.008729495,61.358,1517.799873,0.430076220,0.505561191
9,134,0.009303905,65.381,1505.639567,0.423535853,0.498380300
9,134,0.009916112,69.642,1488.369937,0.414267595,0.488180537
9,134,0.010568603,74.261,1451.034951,0.400424144,0.472494321
9,134,0.011264028,79.112,1401.122052,0.384148056,0.453758144
9,134,0.012005213,84.381,1400.580935,0.380571240,0.450110802
9,134,0.012795169,89.940,1532.778996,0.411650168,0.487737967
9,134,0.013637104,95.799,1602.336845,0.425777833,0.505363471
9,134,0.014534440,102.149,1597.154122,0.419860885,0.499222359
9,134,0.015490822,108.873,1537.890255,0.402121708,0.478488927
9,134,0.016510135,115.970,1460.566935,0.379631855,0.452153623
9,134,0.017596519,123.687,1470.829104,0.378545452,0.451446691
