k,n_samples,Kprime_over_K,mean_Kprime,rms_S,rms_sqrt_sumR2_all,rms_sqrt_sumR2_sf,C_rms_all,C_rms_sf,rms_SM,rms_sqrt_Diag,C_rms_M,C_rms_M_all
8,11822,0.063095734,393.235,994.736547,2184.442379,1789.651126,0.455373214,0.555827073,901.497574,793.400672,1.136245035,2.040777263
8,11822,0.070794578,441.216,924.187057,2213.686513,1811.318700,0.417487775,0.510228850,911.878400,800.357144,1.139339364,2.060190624
8,11822,0.079432823,495.052,920.232510,2247.060862,1836.044269,0.409527185,0.501203879,909.994655,807.582319,1.126813494,2.052751859
8,11822,0.089125094,555.458,1105.625778,2293.011997,1870.287088,0.482171824,0.591152976,933.736726,816.660019,1.143360401,2.102157380
8,11822,0.100000000,623.233,1045.448368,2321.812058,1891.829589,0.450272607,0.552612336,967.830954,823.778006,1.174868650,2.175854299
8,11822,0.112201845,699.282,918.027826,2354.440474,1916.296788,0.389913372,0.479063489,976.088085,829.926176,1.176114350,2.191902584
8,11822,0.125892541,784.604,1049.196552,2393.678009,1945.588475,0.438319836,0.539269514,978.114447,837.968647,1.167244683,2.193980547
8,11822,0.141253754,880.343,1158.663940,2436.545583,1977.574898,0.475535508,0.585901420,1010.506961,847.692315,1.192068093,2.263404885
8,11822,0.158489319,987.762,1050.074047,2466.854904,2000.256899,0.425673210,0.524969591,1024.874883,854.448565,1.199457668,2.293300177
8,11822,0.177827941,1108.285,1013.228361,2507.793605,2030.983356,0.404031799,0.498885605,1023.391261,862.173144,1.186990419,2.287467386
8,11822,0.199526231,1243.517,1064.748429,2545.830949,2059.529492,0.418232180,0.516986250,1024.036838,871.053131,1.175630741,2.286807511
8,11822,0.223872114,1395.250,1231.572908,2592.109658,2094.356824,0.475123768,0.588043496,1024.353362,881.520094,1.162030643,2.285556565
8,11822,0.251188643,1565.495,1111.989623,2626.788584,2120.502903,0.423326654,0.524399010,1088.805788,892.885258,1.219424083,2.427418070
8,11822,0.281838293,1756.513,1033.670465,2663.482517,2148.149574,0.388089825,0.481191104,1117.240002,903.959606,1.235940184,2.489002245
8,11822,0.316227766,1970.845,1260.554727,2712.099905,2184.821619,0.464789193,0.576960021,1111.539868,914.458342,1.215517226,2.474841581
8,11822,0.354813389,2211.318,1260.202043,2749.213861,2212.844171,0.458386326,0.569494255,1168.665853,925.398144,1.262878968,2.600297459
8,11822,0.398107171,2481.145,1170.527646,2794.570367,2247.076715,0.418857818,0.520911297,1160.857845,935.245318,1.241233527,2.581316573
8,11822,0.446683592,2783.886,1087.947659,2831.619793,2275.090987,0.384213891,0.478199626,1168.714249,944.203850,1.237777466,2.597346942
8,11822,0.501187234,3123.574,1311.611405,2888.776868,2318.342972,0.454036938,0.565753825,1195.299363,954.823554,1.251853662,2.654990756
8,11822,0.562341325,3504.711,1353.390679,2933.063654,2351.920826,0.461425608,0.575440578,1203.843505,964.869553,1.247674881,2.672644062
8,11822,0.630957344,3932.345,1197.135952,2972.449562,2381.815713,0.402743908,0.502614852,1225.728438,975.072296,1.257064162,2.720096290
8,11822,0.707945784,4412.163,1161.181182,3015.973528,2414.867501,0.385010402,0.480846747,1260.377672,987.637272,1.276154423,2.795757839
8,11822,0.794328235,4950.530,1486.831535,3078.437378,2462.295002,0.482982550,0.603839724,1307.166801,1000.831199,1.306081187,2.898387254
8,11822,0.891250938,5554.587,1400.436614,3122.617306,2495.863046,0.448481667,0.561103149,1299.202596,1014.003920,1.281259934,2.879681515
8,11822,1.000000000,6232.348,1256.978724,3162.113481,2525.896878,0.397512212,0.497636596,1322.935849,1025.838110,1.289614645,2.931289052
9,16686,0.001000000,7.019,1032.938574,2423.378143,2224.359364,0.426239123,0.464375761,560.418045,828.756765,0.676215348,0.763399493
9,16686,0.001122018,7.880,1051.292210,2468.157229,2254.419530,0.425942156,0.466325010,578.617633,857.386669,0.674861943,0.778231320
9,16686,0.001258925,8.853,1130.696704,2537.576589,2305.896208,0.445581311,0.490350216,575.845099,889.680311,0.647249458,0.764266828
9,16686,0.001412538,9.916,1160.704550,2599.632935,2351.322558,0.446487862,0.493639014,603.985820,913.920112,0.660873759,0.792542294
9,16686,0.001584893,11.138,1188.470342,2653.485616,2388.958842,0.447890252,0.497484645,649.683351,941.045015,0.690384988,0.843313835
9,16686,0.001778279,12.491,1134.698992,2706.771471,2425.646976,0.419207533,0.467792306,644.420317,1001.746194,0.643296996,0.818449243
9,16686,0.001995262,14.024,1152.232933,2754.216065,2460.192731,0.418352412,0.468350678,647.089952,1092.973857,0.592045224,0.792376957
9,16686,0.002238721,15.727,1312.937824,2844.475746,2518.774715,0.461574625,0.521260523,812.193563,1167.672293,0.695566356,0.964631883
9,16686,0.002511886,17.645,1259.189966,2890.058663,2547.181456,0.435697026,0.494346393,855.759538,1207.033594,0.708977399,0.998419101
9,16686,0.002818383,19.800,1256.706905,2939.541963,2580.781283,0.427517933,0.486948240,820.300365,1252.655133,0.654849322,0.943740409
9,16686,0.003162278,22.215,1279.559352,3006.560322,2629.461697,0.425589117,0.486624070,833.803418,1276.634062,0.653126407,0.951224221
9,16686,0.003548134,24.927,1352.107244,3068.384551,2676.218985,0.440657689,0.505230421,876.872922,1296.657625,0.676256326,0.992956669
9,16686,0.003981072,27.965,1336.716873,3123.000956,2715.936186,0.428023203,0.492175361,875.018069,1312.363872,0.666749587,0.985686547
9,16686,0.004466836,31.381,1241.987614,3170.303218,2747.999595,0.391756727,0.451960625,935.341998,1330.320679,0.703095135,1.047495783
9,16686,0.005011872,35.209,1341.957909,3234.341614,2792.052586,0.414909143,0.480634898,915.148951,1354.086330,0.675842397,1.016924524
9,16686,0.005623413,39.508,1404.663112,3301.524556,2838.047512,0.425458932,0.494939957,962.244667,1369.479349,0.702635398,1.063081905
9,16686,0.006309573,44.329,1363.589036,3356.844405,2877.553825,0.406211570,0.473870905,1063.607025,1399.269133,0.760116121,1.163104317
9,16686,0.007079458,49.737,1307.773357,3404.600709,2911.709080,0.384119451,0.449142865,1039.939694,1414.463667,0.735218386,1.132252572
9,16686,0.007943282,55.804,1410.454756,3477.734397,2964.428240,0.405567129,0.475793186,1033.760687,1431.314745,0.722245537,1.119547047
9,16686,0.008912509,62.614,1470.854574,3536.793243,3006.314944,0.415872366,0.489254985,1138.618016,1449.620187,0.785459548,1.226060500
9,16686,0.010000000,70.254,1436.510091,3594.794401,3048.881971,0.399608414,0.471159627,1122.509452,1469.323563,0.763963418,1.202649359
9,16686,0.011220185,78.826,1344.859639,3644.392166,3084.413121,0.369021658,0.436018000,1166.343025,1483.357289,0.786285970,1.245315641
9,16686,0.012589254,88.444,1455.320704,3712.714974,3133.427073,0.391982879,0.464450159,1178.186947,1504.995543,0.782850788,1.250720058
