n,X,H,C_centered,E_centered,identity_err
3227,10419983,727.0,-18.260981849845848,-372.6304909248713,1.0322764865122736e-10
3228,10426440,796.0,17.830911501223454,-389.084544249351,7.457856554538012e-11
3229,10432899,768.0,-22.943194425984984,-395.471597212967,5.093170329928398e-11
3230,10439360,668.0,25.216889817471383,-321.3915550911963,1.3596945791505277e-10
3231,10445823,679.0,10.236120002518874,-334.3819399987767,7.23048287909478e-11
3232,10452288,638.0,89.01571242031059,-274.49214378978854,1.1232259566895664e-10
3233,10458755,592.0,162.15342942143616,-214.9232852892717,2.0463630789890885e-11
3234,10465224,670.0,98.58566810307093,-285.70716594840724,1.1459633242338896e-10
3235,10471695,596.0,71.2832277581474,-262.35838612096563,7.867129170335829e-11
3236,10478168,644.0,79.97944970492972,-282.0102751474715,1.2732925824820995e-10
3237,10484643,627.0,23.598313110298477,-301.7008434449024,1.0322764865122736e-10
3238,10491120,573.0,45.91134480870096,-263.54432759561337,7.23048287909478e-11
3239,10497599,553.0,-5.599336594765191,-279.29966829732234,1.20508047984913e-10
3240,10504080,541.0,-51.596837988487096,-296.2984189942774,6.775735528208315e-11
3241,10510563,528.0,-46.44134238646075,-287.2206711932199,2.091837814077735e-11
3242,10517048,494.0,-47.81704929165426,-270.9085246458774,1.0049916454590857e-10
3243,10523535,490.0,3.6929920406546444,-243.15350397950237,3.406057658139616e-10
3244,10530024,541.0,-1.1113860976620344,-271.0556930488226,1.6825651982799172e-11
3245,10536515,476.0,-14.619904867635341,-245.3099524337906,5.411493475548923e-11
3246,10543008,528.0,-38.243019914691104,-283.1215099573692,4.729372449219227e-11
3247,10549503,568.0,28.745418224993045,-269.627290887458,9.094947017729282e-11
3248,10556000,529.0,87.02983911411138,-220.98508044293362,2.1373125491663814e-11
3249,10562499,537.0,118.83270249635098,-209.08364875182997,1.0913936421275139e-11
3250,10569000,421.0,124.93303478024609,-148.03348260973507,2.837623469531536e-10
3251,10575503,431.0,65.85380400385475,-182.5730979981072,6.912159733474255e-11
3252,10582008,361.0,66.48956609553716,-147.2552169521482,1.6643753042444587e-10
3253,10588515,404.0,85.1327461340552,-159.4336269328769,1.9099388737231493e-10
3254,10595024,407.0,92.39654795004753,-157.30172602505104,1.496118784416467e-10
3255,10601535,417.0,34.058127791955485,-191.47093610394222,1.6007106751203537e-10
3256,10608048,403.0,81.4119181388669,-160.79404093055928,1.4551915228366852e-11
3257,10614563,575.0,75.44082359870663,-249.77958820054573,2.0190782379359007e-10
3258,10621080,457.0,133.987915200094,-161.50604239990957,8.685674401931465e-11
3259,10627599,410.0,208.51272778426937,-100.7436361077896,1.5143086784519255e-10
3260,10634120,375.0,151.2343220601906,-111.88283896983876,1.318767317570746e-10
3261,10640643,348.0,163.2859253025381,-92.3570373486341,1.9372237147763371e-10
3262,10647168,252.0,146.21658264053985,-52.891708679665726,1.2869350030086935e-10
3263,10653695,202.0,75.75899474316975,-63.12050262829962,2.3101165425032377e-10
3264,10660224,219.0,162.83995649468852,-28.080021752611174,8.913048077374697e-11
3265,10666755,282.0,100.13292249184451,-90.93353875401931,1.1687006917782128e-10
3266,10673288,232.0,108.72224575570726,-61.63887712202609,2.405613486189395e-10
3267,10679823,182.0,163.2646115537209,-9.367694223171611,6.411937647499144e-11
3268,10686360,175.0,140.5266067453049,-17.236696627232504,2.3010215954855084e-10
3269,10692899,125.0,75.06209184434556,-24.968954077813123,2.8194335754960775e-11
3270,10699440,159.0,74.81812857622572,-42.09093571182052,1.3324097380973399e-10
3271,10705983,96.0,41.041109060752206,-27.479445469569328,1.0913936421275139e-10
3272,10712528,86.0,43.378615831941715,-21.310692083997765,6.275513442233205e-11
3273,10719075,6.0,193.30412046377023,93.65206023190626,4.229150363244116e-11
3274,10725624,72.0,109.21662489496521,18.608312447481467,2.2737367544323206e-12
3275,10732175,33.0,213.96688593144063,90.48344296584764,2.546585164964199e-10
3276,10738728,57.0,136.65341806886136,39.82670903452026,1.7917045624926686e-10
3277,10745283,41.0,175.66247609158745,67.33123804584329,9.913492249324918e-11
3278,10751840,95.0,244.67288625738001,74.83644312877868,1.77351466845721e-10
3279,10758399,109.0,173.02938756824005,32.01469378412162,3.183231456205249e-12
3280,10764960,196.0,112.32525163842365,-41.83737418075475,6.684786058031023e-11
3281,10771523,241.0,102.47617809046642,-69.26191095470449,1.2460077414289117e-10
3282,10778088,166.0,165.8695407858322,-0.06522960701431657,1.3915268937125802e-10
3283,10784655,135.0,173.43197083067207,19.215985415356272,4.0472514228895307e-11
3284,10791224,243.0,167.50500798708526,-37.747496006454185,6.366462912410498e-12
3285,10797795,283.0,158.20744660461787,-62.396276697650364,8.139977580867708e-11
3286,10804368,195.0,154.1555504960852,-20.422224751978547,4.229150363244116e-11
3287,10810943,103.0,197.52043650207634,47.26021825104522,1.4097167877480388e-11
3288,10817520,137.0,187.09275057711056,25.046375288588706,6.684786058031023e-11
3289,10824099,219.0,191.48068621414131,-13.759656892895464,6.775735528208315e-11
3290,10830680,278.0,131.16963038023096,-73.41518480991158,5.411493475548923e-11
3291,10837263,201.0,177.8892385991785,-11.555380700383921,5.3660187404602766e-11
3292,10843848,201.0,125.50695841744891,-37.74652079117914,1.9281287677586079e-10
3293,10850435,156.0,149.94676521932706,-3.0266173903205527,3.183231456205249e-11
3294,10857024,164.0,122.44054232722556,-20.779728836419054,6.366462912410498e-11
3295,10863615,121.0,181.6254295922554,30.312714796195223,1.3505996321327984e-10
3296,10870208,68.0,246.68512451868446,89.34256225943932,1.9417711882852018e-10
3297,10876803,199.0,220.64957110240357,10.824785551206105,8.640199666842818e-12
3298,10883400,207.0,136.8719238308986,-35.0640380844402,2.2100721253082156e-10
3299,10889999,250.0,148.01283345198317,-50.99358327405116,8.549250196665525e-11
3300,10896600,204.0,42.192849193452275,-80.90357540321565,1.1641532182693481e-10
3301,10903203,185.0,41.15033090153884,-71.9248345492017,5.775291356258094e-11
3302,10909808,112.0,121.71500675214338,4.857503376267459,3.915374691132456e-10
3303,10916415,131.0,177.954088959028,23.477044479711367,3.9472070056945086e-10
