j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
1400,1871.4160430,-1.263024340e+02,-1.203905292e+02,-1.227065233e+02,-1.167946186e+02,-1.075811,-6.167030945e+02,-4.097951627e+02,-5.589334033e+02,-3.520254715e+02,31.267933,-1.224951634e+03,-8.617916099e+02,-1.215875259e+03,-8.527152352e+02,-31.861367,4.632614437e+02,-8.946533095e+02,2.804119596e+02,-1.077502794e+03,-291.549128
1425,1898.8293728,-1.270576551e+02,-1.211457503e+02,-1.227627643e+02,-1.168508595e+02,-1.132052,-6.180056964e+02,-4.110977646e+02,-5.597933506e+02,-3.528854188e+02,30.407985,-1.217687994e+03,-8.545279697e+02,-1.215952205e+03,-8.527921806e+02,-31.938312,5.123197379e+02,-8.455950154e+02,2.835355675e+02,-1.074379186e+03,-288.425520
1450,1926.2115830,-1.267323618e+02,-1.208204571e+02,-1.228148411e+02,-1.169029364e+02,-1.184129,-6.193483066e+02,-4.124403748e+02,-5.606313972e+02,-3.537234654e+02,29.569939,-1.211700361e+03,-8.485403366e+02,-1.215852081e+03,-8.526920568e+02,-31.838188,5.508356815e+02,-8.070790717e+02,2.869585968e+02,-1.070956156e+03,-285.002490
1475,1953.4485563,-1.268342643e+02,-1.209223596e+02,-1.228650199e+02,-1.169531151e+02,-1.234308,-6.201213682e+02,-4.132134364e+02,-5.614618147e+02,-3.545538829e+02,28.739521,-1.202331702e+03,-8.391716777e+02,-1.215694653e+03,-8.525346288e+02,-31.680760,5.555420752e+02,-8.023726780e+02,2.906346718e+02,-1.067280081e+03,-281.326415
1500,1980.9100430,-1.256158299e+02,-1.197039251e+02,-1.229206839e+02,-1.170087792e+02,-1.289972,-6.203144286e+02,-4.134064967e+02,-5.622634942e+02,-3.553555624e+02,27.937842,-1.188630162e+03,-8.254701378e+02,-1.215409193e+03,-8.522491694e+02,-31.395301,5.467187694e+02,-8.111959838e+02,2.944499938e+02,-1.063464759e+03,-277.511093
1525,2008.4182403,-1.244938613e+02,-1.185819566e+02,-1.229489428e+02,-1.170370380e+02,-1.318231,-6.194480690e+02,-4.125401372e+02,-5.630573034e+02,-3.561493716e+02,27.144032,-1.188753716e+03,-8.255936922e+02,-1.215054257e+03,-8.518942336e+02,-31.040365,5.559271109e+02,-8.019876423e+02,2.979513993e+02,-1.059963354e+03,-274.009688
1550,2035.0774400,-1.243766569e+02,-1.184647522e+02,-1.229697261e+02,-1.170578214e+02,-1.339014,-6.193942930e+02,-4.124863612e+02,-5.637809123e+02,-3.568729805e+02,26.420424,-1.192229294e+03,-8.290692700e+02,-1.214735619e+03,-8.515755951e+02,-30.721727,5.684301046e+02,-7.894846486e+02,3.015622558e+02,-1.056352497e+03,-270.398831
1575,2062.5726509,-1.241317685e+02,-1.182198637e+02,-1.229887686e+02,-1.170768639e+02,-1.358057,-6.189475171e+02,-4.120395853e+02,-5.645279216e+02,-3.576199898e+02,25.673414,-1.203518134e+03,-8.403581103e+02,-1.214450813e+03,-8.512907892e+02,-30.436921,5.697023545e+02,-7.882123988e+02,3.050438715e+02,-1.052870882e+03,-266.917216
1600,2090.0362067,-1.226274493e+02,-1.167155445e+02,-1.229967281e+02,-1.170848234e+02,-1.366016,-6.176537969e+02,-4.107458651e+02,-5.652275494e+02,-3.583196176e+02,24.973786,-1.181573653e+03,-8.184136295e+02,-1.214177350e+03,-8.510173262e+02,-30.163458,5.905606590e+02,-7.673540942e+02,3.086865127e+02,-1.049228241e+03,-263.274575
1625,2116.9000560,-1.224072411e+02,-1.164953364e+02,-1.229864873e+02,-1.170745825e+02,-1.355775,-6.163557870e+02,-4.094478552e+02,-5.658884666e+02,-3.589805348e+02,24.312869,-1.169021340e+03,-8.058613160e+02,-1.213662746e+03,-8.505027216e+02,-29.648853,5.819997699e+02,-7.759149833e+02,3.122147850e+02,-1.045699968e+03,-259.746302
1650,2143.3744441,-1.217575785e+02,-1.158456737e+02,-1.229761933e+02,-1.170642885e+02,-1.345481,-6.145000591e+02,-4.075921273e+02,-5.664935561e+02,-3.595856243e+02,23.707780,-1.165704202e+03,-8.025441783e+02,-1.213097479e+03,-8.499374555e+02,-29.083587,5.817940045e+02,-7.761207488e+02,3.156123336e+02,-1.042302420e+03,-256.348754
1675,2170.7870749,-1.219041363e+02,-1.159922315e+02,-1.229568565e+02,-1.170449518e+02,-1.326145,-6.112335296e+02,-4.043255978e+02,-5.670985413e+02,-3.601906095e+02,23.102795,-1.165520274e+03,-8.023602497e+02,-1.212503616e+03,-8.493435918e+02,-28.489723,6.044556514e+02,-7.534591019e+02,3.188884346e+02,-1.039026319e+03,-253.072653
