cap,x,k,y,K,MK,S,absS_over_sqrtx,S_real,resid_cesaro_Tmax,off_pred,abs_li_Tmax,abs_psi_Tmax,overshoot_li_Tmax,overshoot_psi_Tmax,overshoot_li_T2000,overshoot_psi_T2000,mean_absF
1000000,998000,7,3115,320,-4,-11.217083906,0.011228318,-11.061017698,-116.152950,115.686223,1.890971e+03,2.116383e+04,168.579540,1886.749662,139.435816,1557.411702,2.425874
1000000,999999,7,3115,320,-4,-6.071901902,0.006071905,-5.911904744,-119.285407,115.718807,1.892513e+03,2.118501e+04,311.683694,3489.024467,257.800343,2880.004510,2.425874
10000000,9703224,8,14937,649,-6,49.316937222,0.015832083,49.010688797,-253.610715,295.531240,5.448234e+03,7.154639e+04,110.473894,1450.746818,91.615063,1200.680825,2.611238
10000000,9709455,8,14937,649,-6,78.331884758,0.025138604,78.604070474,-268.357507,295.603311,5.449708e+03,7.156936e+04,69.572029,913.668276,57.695490,756.178794,2.611238
10000000,9715688,8,14937,650,-6,143.275229730,0.045965748,143.204550862,-312.067762,295.675400,5.451182e+03,7.159233e+04,38.046927,499.683906,31.551990,413.553128,2.611238
10000000,9721923,8,14937,650,-6,98.084618503,0.031457544,97.812129499,-269.660994,295.723496,5.452656e+03,7.161529e+04,55.591347,730.137874,46.101425,604.283624,2.611238
10000000,9728160,8,14937,651,-7,114.809498155,0.036809716,115.119262779,-275.761583,316.724440,5.459228e+03,7.168686e+04,47.550314,624.398374,39.439780,516.844123,2.611604
10000000,9734399,8,14937,651,-7,174.698793597,0.055993206,174.738058153,-322.725043,316.801455,5.460703e+03,7.170985e+04,31.257816,410.477064,25.926250,339.771318,2.611604
10000000,9740640,8,14937,652,-7,138.385943919,0.044340260,138.364203473,-287.997782,316.878225,5.462178e+03,7.173283e+04,39.470612,518.353453,32.738208,429.065717,2.611604
10000000,9746883,8,14937,652,-7,215.380562244,0.068988012,215.997698259,-332.413759,316.950030,5.463653e+03,7.175582e+04,25.367437,333.158271,21.040575,275.770889,2.611604
10000000,9753128,8,14937,652,-7,224.139407317,0.071770547,224.638542028,-329.266052,317.002626,5.465128e+03,7.177880e+04,24.382717,320.241766,20.223815,265.079286,2.611604
10000000,9759375,8,14937,653,-8,205.750002088,0.065861080,206.190796049,-330.046218,338.009238,5.472543e+03,7.185939e+04,26.598024,349.255832,22.063291,289.116516,2.612721
10000000,9765624,8,14937,653,-8,192.404514735,0.061569448,192.841883447,-343.679452,338.113860,5.474020e+03,7.188239e+04,28.450579,373.600331,23.600000,309.269070,2.612721
10000000,9771875,8,14937,654,-9,139.830454618,0.044731434,140.015619045,-356.467704,359.123537,5.480021e+03,7.194828e+04,39.190470,514.539401,32.511764,425.974888,2.613161
