run_xmax,x,D,M_x,E_rec,sum_abs_Ed,C_pnt,absE_over_sqrtD,absE_rec_over_sqrtx,ratio_E_to_sqrtD_pred,saving_factor
1e8,285803,533,86,-13.585693,997.826467,58.828614,43.220662,0.025413,0.314333,73.446858
1e8,297032,543,150,-63.102151,982.168014,23.795698,42.148864,0.115782,1.497126,15.564731
1e8,308702,554,192,-90.601056,1070.388247,10.797888,45.476439,0.163066,1.992264,11.814302
1e8,320831,564,30,25.022611,1005.164385,80.045222,42.325056,0.044177,0.591201,40.170244
1e8,333436,575,-107,115.294422,1054.692028,123.588845,43.983698,0.199665,2.621299,9.147815
1e8,346536,587,-210,211.538229,1211.714269,213.076459,50.012800,0.359348,4.229682,5.728110
1e8,360152,598,-153,149.892695,1159.386305,146.785390,47.410832,0.249768,3.161571,7.734775
1e8,374302,610,19,31.573458,1190.278612,82.146917,48.192972,0.051607,0.655147,37.698709
1e8,389008,622,62,8.504114,1333.831323,79.008228,53.481764,0.013635,0.159010,156.845420
1e8,404291,634,49,6.326351,1313.683359,61.652701,52.173031,0.009950,0.121257,207.652636
1e8,420176,646,144,-48.812383,1320.639367,46.375234,51.959861,0.075303,0.939425,27.055417
1e8,436684,659,-49,125.967215,1334.326147,202.934430,51.977967,0.190622,2.423473,10.592646
1e8,453841,672,42,30.651955,1339.582402,103.303911,51.675513,0.045499,0.593162,43.703000
1e8,471672,685,93,-16.708123,1413.567944,59.583753,54.009655,0.024328,0.309354,84.603633
1e8,490204,698,8,45.562246,1506.159959,99.124492,57.008995,0.065075,0.799212,33.057193
1e8,509463,712,-49,102.780173,1502.985884,156.560347,56.326777,0.143997,1.824712,14.623306
1e8,529480,726,-143,154.163423,1560.340389,165.326846,57.909663,0.211864,2.662136,10.121340
1e8,550283,740,1,66.682837,1568.664260,134.365674,57.665245,0.089892,1.156378,23.524258
1e8,571903,754,3,45.588688,1687.354423,94.177376,61.449824,0.060283,0.741885,37.012568
1e8,594372,769,-185,191.310233,1585.965035,197.620467,57.191362,0.248147,3.345090,8.290017
1e8,617725,784,-260,267.101809,1696.695761,274.203617,60.596277,0.339844,4.407891,6.352244
1e8,641995,799,57,32.592312,1759.718790,122.184623,62.254376,0.040677,0.523534,53.991838
1e8,667218,815,202,-86.546227,1707.185301,28.907545,59.800093,0.105953,1.447259,19.725704
1e8,693432,831,257,-139.694963,1879.191644,-22.389927,65.188436,0.167756,2.142941,13.452107
1e8,720677,847,125,-17.982847,1840.377937,89.034306,63.236134,0.021183,0.284376,102.340745
1e8,748992,863,121,-29.673977,1780.743288,61.652047,60.617206,0.034288,0.489531,60.010268
1e8,778419,880,16,37.536539,2021.777956,91.073078,68.154121,0.042545,0.550760,53.861598
1e8,809002,897,-10,56.529821,1908.038182,103.059642,63.707541,0.062850,0.887333,33.752772
1e8,840787,915,-146,166.843814,1996.159427,187.687629,65.990995,0.181956,2.528282,11.964240
1e8,873821,933,-84,117.776298,1988.563774,151.552596,65.102655,0.125993,1.809086,16.884244
1e8,908153,951,-203,228.409441,2001.804310,253.818882,64.912952,0.239682,3.518704,8.764105
1e8,943834,970,-249,278.885123,2082.609510,308.770246,66.868561,0.287063,4.170646,7.467625
1e8,980916,988,109,4.240835,2191.551463,117.481671,69.722540,0.004282,0.060824,516.773520
1e8,1019455,1008,112,-11.541786,2186.947078,88.916428,68.882358,0.011431,0.167558,189.480819
1e8,1059509,1027,354,-180.324968,2402.463856,-6.649935,74.967260,0.175188,2.405383,13.322968
1e8,1101136,1047,204,-72.201241,2184.719169,59.597518,67.518421,0.068806,1.069356,30.258748
1e8,1144399,1068,10,67.267460,2369.112405,144.534920,72.493662,0.062881,0.927908,35.219293
1e8,1189361,1089,-182,231.910278,2439.500025,281.820557,73.924243,0.212649,3.137134,10.519154
1e8,1236090,1110,62,25.513804,2548.506775,113.027607,76.493460,0.022948,0.333542,99.887371
1e8,1284655,1131,-178,217.488731,2488.659489,256.977462,74.000419,0.191886,2.939020,11.442705
1e8,1335128,1153,3,49.866229,2803.662467,102.732458,82.567869,0.043156,0.603942,56.223672
1e8,1387584,1176,-100,162.048446,2933.845202,224.096892,85.552663,0.137567,1.894137,18.104741
1e8,1442101,1199,-86,147.647529,2841.265887,209.295058,82.054478,0.122950,1.799384,19.243572
1e8,1498760,1222,-323,356.236173,2915.108117,389.472345,83.390977,0.290986,4.271879,8.183077
1e8,1557645,1246,-67,152.073762,2974.669170,237.147523,84.271292,0.121848,1.804574,19.560700
1e8,1618844,1270,152,-51.843409,3043.150971,48.313181,85.392875,0.040747,0.607116,58.698898
1e8,1682447,1295,146,-3.541186,3048.887900,138.917628,84.724024,0.002730,0.041797,860.979337
1e8,1748549,1320,284,-122.126816,3109.929083,39.746369,85.597981,0.092357,1.426749,25.464752
1e8,1817248,1346,357,-180.742453,3300.490540,-4.484905,89.961350,0.134077,2.009112,18.260738
1e8,1888646,1372,94,40.508796,3245.913031,175.017592,87.631415,0.029476,0.462263,80.128598
1e8,1962850,1399,-298,364.535893,3265.958058,431.071786,87.317591,0.260194,4.174828,8.959222
1e8,2039968,1426,-306,319.148781,3449.739527,332.297561,91.353784,0.223451,3.493547,10.809189
1e8,2120117,1454,-405,377.588774,3593.764373,350.177549,94.246970,0.259322,4.006376,9.517667
1e8,2203415,1482,-230,252.300623,3614.901328,274.601247,93.901460,0.169969,2.686866,14.327754
1e8,2289985,1511,-246,291.517402,3665.670783,337.034804,94.302070,0.192641,3.091315,12.574449
1e8,2379957,1541,300,-109.787065,3853.293618,80.425871,98.159149,0.071165,1.118460,35.097884
1e8,2473463,1571,228,-9.582178,3819.749542,208.835643,96.371095,0.006093,0.099430,398.630603
1e8,2570643,1601,304,-127.186552,4069.195656,49.626896,101.698116,0.079327,1.250628,31.993914
1e8,2671642,1633,105,56.980816,4114.930893,218.961631,101.828525,0.034861,0.559576,72.216076
1e8,2776608,1664,190,-34.408273,4541.002701,121.183454,111.320487,0.020649,0.309092,131.974154
1e8,2885699,1697,-125,173.001952,4382.792890,221.003904,106.392258,0.101842,1.626077,25.333777
1e8,2999076,1730,85,44.218515,4469.636095,173.437030,107.460564,0.025534,0.411486,101.080647
1e8,3116907,1763,78,79.140612,4893.382078,236.281223,116.542135,0.044827,0.679073,61.831492
1e8,3239368,1798,-646,601.231808,5065.902517,556.463616,119.470859,0.334050,5.032456,8.425872
1e8,3366640,1833,-251,289.109056,4816.555603,327.218112,112.500731,0.157566,2.569842,16.659996
1e8,3498912,1869,-106,208.006935,4973.630748,310.013869,115.045302,0.111202,1.808044,23.910889
1e8,3636382,1905,7,135.151984,5081.367490,277.303967,116.421480,0.070874,1.160885,37.597432
1e8,3779252,1942,141,12.416873,5421.869134,165.833746,123.033794,0.006387,0.100922,436.653351
1e8,3927736,1980,164,-9.639089,5338.158757,144.721822,119.966197,0.004864,0.080348,553.803246
1e8,4082053,2018,126,61.852130,5348.062005,249.704259,119.051769,0.030614,0.519540,86.465285
1e8,4242434,2058,254,-42.821335,5701.851406,168.357331,125.687825,0.020790,0.340696,133.154453
1e8,4409115,2098,507,-242.272401,6044.024239,22.455198,131.954272,0.115379,1.836033,24.947226
1e8,4582346,2139,347,-121.937658,5827.922463,103.124684,126.010975,0.056963,0.967675,47.794279
