k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
7,1865,3481955,30,592.6333333333333,592.6333333307887,340.6833818469382
7,1989,3960099,30,851.6333333333333,851.6333333432228,363.32258393884626
7,2120,4498640,30,-545.5,-545.4999999936141,387.2398051165023
7,2260,5112120,30,0.0,0.0,412.8001937984041
7,2410,5812920,30,0.0,1.2922100722789764e-09,440.18632418556575
7,2569,6604899,30,851.6333333333333,851.6333333356704,469.21562207582133
7,2739,7507599,30,851.6333333333333,851.6333333430928,500.25323587159335
7,2920,8532240,30,0.0,6.903428584337234e-09,533.2991655721955
7,3113,9696995,30,592.6333333333333,592.6333333380909,568.535985375303
8,3114,9703224,2,0.0,0.0,2202.6375098958065
8,3334,11122224,2,0.0,0.0,2358.201009244123
8,3569,12744899,2,-388.0,-388.0,2524.3711098014096
8,3821,14607683,2,-388.0,-388.0,2702.5620251901714
8,4090,16736280,2,0.0,0.0,2892.773755411923
8,4379,19184399,2,-388.0,-388.0,3097.127620877125
8,4687,21977343,2,-388.0,-388.0,3314.9165147858553
8,5018,25190360,2,0.0,0.0,3548.9688643322866
8,5372,28869128,2,0.0,0.0,3799.28466951346
8,5751,33085503,2,-388.0,-388.0,4067.2781439188543
8,6157,37920963,2,-388.0,-388.0,4354.363501133087
8,6591,43454463,2,-388.0,-388.0,4661.247847948015
8,7056,49801248,2,0.0,0.0,4990.052504733793
8,7554,57078024,2,0.0,0.0,5342.191685067094
8,8087,65415743,2,-388.0,-388.0,5719.079602523469
8,8657,74960963,2,-388.0,-388.0,6122.130470677671
8,9268,85914360,2,0.0,0.0,6554.1727166744695
8,9922,98465928,2,0.0,0.0,7016.620554084423
8,10622,112848128,2,0.0,0.0,7511.595303262816
8,11371,129322383,2,-388.0,-388.0,8041.2182845636025
8,12173,148206275,2,-388.0,-388.0,8608.31792512335
8,13032,169859088,2,0.0,0.0,9215.722652076722
8,13951,194658303,2,-388.0,-388.0,9865.553785774015
8,14935,223084095,2,-388.0,-388.0,10561.34686013105
8,3114,9703224,3,0.0,0.0,1798.4459958530865
8,3334,11122224,3,0.0,0.0,1925.4630611881391
8,3569,12744899,3,62.333333333333336,62.333333333333336,2061.1403801455804
8,3821,14607683,3,62.333333333333336,62.333333333333336,2206.632653312886
8,4090,16736280,3,0.0,0.0,2361.939880691293
8,4379,19184399,3,62.333333333333336,62.333333333333336,2528.7941131429952
8,4687,21977343,3,0.0,0.0,2706.6180003835043
8,5018,25190360,3,62.333333333333336,62.333333333333336,2897.720943546267
8,5372,28869128,3,62.333333333333336,62.333333333333336,3102.1029426288655
8,5751,33085503,3,0.0,0.0,3320.918698191812
8,6157,37920963,3,0.0,0.0,3555.3229107916486
8,6591,43454463,3,0.0,0.0,3805.892930706275
8,7056,49801248,3,0.0,0.0,4074.3608087649773
8,7554,57078024,3,0.0,0.0,4361.8812455178095
8,8087,65415743,3,62.333333333333336,62.333333333333336,4669.608941513911
8,8657,74960963,3,62.333333333333336,62.333333333333336,4998.698597301768
8,9268,85914360,3,0.0,0.0,5351.45961397449
8,9922,98465928,3,0.0,0.0,5729.046692077139
8,10622,112848128,3,62.333333333333336,62.333333333333336,6133.191882426855
8,11371,129322383,3,0.0,0.0,6565.6272358396955
8,12173,148206275,3,62.333333333333336,62.333333333333336,7028.662153402073
8,13032,169859088,3,0.0,0.0,7524.606036198838
8,13951,194658303,3,0.0,0.0,8055.190935043067
8,14935,223084095,3,0.0,0.0,8623.303601288777
8,3114,9703224,5,680.6,680.5999999999815,1393.0702781984835
8,3334,11122224,5,680.6,680.599999983795,1491.4572739438431
8,3569,12744899,5,680.6,680.59999996759,1596.5524732998913
8,3821,14607683,5,-668.8,-668.8,1709.2503034956583
