n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14470,209409840,14018,-1201.991485,-476.724,-13.3328,-83.181,311.229,-237.84,249.077,-41.9694,-30.5912,-83.5049,-375.251,-31.1053,-213.561,293.214,-468.45,0,0
14471,209438783,14020,-1205.207857,-437.703,12.7289,-82.3302,249.421,-268.693,280.811,-38.485,-71.7996,-36.4491,-399.282,-54.1734,-213.745,337.851,-483.359,0,0
14472,209467728,14022,-1137.436310,-368.674,24.7879,-109.661,243.785,-240.743,263.667,-26.0779,-74.93,-16.8591,-411.607,-32.5723,-182.212,279.804,-486.144,0,0
14473,209496675,14024,-1222.584801,-378.743,-14.0978,-108.819,212.97,-201.913,214.849,-56.6024,-65.776,-58.2763,-373.931,-9.78389,-183.101,298.79,-498.15,0,0
14474,209525624,14026,-1281.806171,-423.804,-0.0968715,-109.04,212.392,-191.708,228.517,-65.9837,-39.8332,-91.1342,-383.61,-14.2756,-175.393,315.867,-543.704,0,0
14475,209554575,14028,-1133.963533,-389.964,-6.92991,-117.146,232.575,-189.758,286.304,-71.7169,-3.39897,-89.1823,-332.54,-45.7464,-185.806,268.223,-488.878,0,0
14476,209583528,14030,-991.706858,-382.116,32.1236,-145.374,262.988,-203.81,312.424,-113.311,-9.52587,-82.7387,-309.515,-30.3038,-165.205,323.857,-481.201,0,0
14477,209612483,14032,-959.196245,-326.366,21.2325,-141.487,227.285,-153.737,323.214,-116.969,20.4824,-44.6902,-319.117,-39.1135,-177.567,291.336,-523.698,0,0
14478,209641440,14034,-1056.818853,-332.608,18.3386,-159.607,238.576,-220.603,331.132,-136.561,13.7796,-35.349,-302.389,-50.4177,-201.105,280.556,-500.563,0,0
14479,209670399,14036,-1002.928044,-339.949,34.5001,-191.667,224.989,-198.464,350.864,-114.879,17.4311,-8.92013,-276.418,-56.0745,-209.275,306.687,-541.755,0,0
14480,209699360,14037,-737.025951,-314.281,20.5481,-112.795,219.394,-168.651,373.974,-109.475,24.9328,28.9827,-289.178,-15.8617,-176.659,302.535,-520.492,0,0
14481,209728323,14039,-719.519741,-298.712,10.7623,-74.8623,215.68,-225.518,394.892,-136.068,44.2414,21.7872,-256.46,-38.0911,-147.188,257.885,-487.868,0,0
