r,abs_b,re_b,im_b
300,8.922159955504e-02,-3.777777777778e-02,8.082903768655e-02
301,7.592623207944e-03,6.998378676016e-03,2.944592176327e-03
302,7.856801765184e-03,4.161501860406e-03,6.664175586165e-03
303,8.749773666796e-03,2.340655159914e-03,8.430888010318e-03
304,7.082410815970e-03,6.205863828373e-03,3.412886917239e-03
305,1.179846517252e-02,-1.788264269273e-03,1.166215637566e-02
306,1.469117473329e-02,-4.866402283392e-03,1.386177275316e-02
307,6.927056978187e-03,5.413023613464e-03,4.322417580374e-03
308,7.006799538892e-03,5.187394813441e-03,4.710220252568e-03
309,8.948880998768e-03,-4.812945679666e-04,8.935928976271e-03
310,3.090664709374e-02,2.933487984063e-02,-9.730655646627e-03
311,7.667945804735e-03,4.720046733495e-03,6.043058141204e-03
312,9.573253729599e-03,-1.322045709727e-03,9.481528469222e-03
313,8.383330225523e-03,4.625623773797e-03,6.991697245552e-03
314,9.048692133801e-03,4.945588117073e-04,9.035166900178e-03
315,4.008264560556e-02,-3.437941015135e-02,2.060763539048e-02
316,9.624669703852e-03,4.833976525792e-03,8.322676123480e-03
317,1.003364571946e-02,4.988781788574e-03,8.705521391023e-03
318,2.150667616249e-02,2.051667686353e-02,6.450045739009e-03
319,1.078071689703e-02,5.398316038746e-03,9.331775863134e-03
320,1.168337922436e-02,-5.444401266711e-03,1.033730356270e-02
321,9.900509113039e-03,-7.702893095567e-04,9.870498218274e-03
322,9.860165265099e-03,1.712769582407e-03,9.710266701417e-03
323,1.177068589219e-02,6.412291794239e-03,9.870742642680e-03
324,1.429958481246e-02,9.963176968910e-03,1.025735007178e-02
325,2.649818939530e-02,2.329130013282e-02,1.263603495374e-02
326,9.020077949116e-03,2.734573330593e-03,8.595575309875e-03
327,7.607769239713e-03,7.989224446443e-04,7.565703915180e-03
328,1.166750740740e-02,7.324569156976e-03,9.081927976287e-03
329,1.144916441468e-02,7.375624527245e-03,8.756913190580e-03
330,1.410448425616e-01,-1.306792178427e-01,-5.307155205256e-02
331,1.082174502852e-02,7.296386915689e-03,7.992052517270e-03
332,1.041848682168e-02,7.158940137344e-03,7.569309331994e-03
333,1.322687204672e-02,9.768295912322e-03,8.917989633853e-03
334,5.131671647298e-03,3.049469771294e-03,4.127322135434e-03
335,2.484203307132e-03,-2.413123583022e-03,-5.900005459540e-04
336,1.719863434957e-03,8.942220674252e-04,1.469114402976e-03
337,7.708981119576e-03,5.480534792659e-03,5.421450754958e-03
338,2.638579129585e-03,1.902294106591e-03,1.828490348650e-03
339,3.417660532069e-04,5.175077811567e-05,-3.378252389757e-04
340,5.295955639532e-03,-3.030487830260e-03,-4.343188879905e-03
341,5.239915985259e-03,3.182783114718e-03,4.162524615811e-03
342,9.740983170374e-03,-5.204901897921e-03,-8.233817423197e-03
343,4.249147928382e-03,1.875816728345e-03,3.812685368469e-03
344,3.908490886823e-03,1.215407637523e-03,3.714712005934e-03
345,5.247687609908e-02,2.044800099976e-02,4.832909869046e-02
346,1.745651731866e-03,-1.679179635660e-03,-4.771328118566e-04
347,3.771704203366e-03,-6.811935290919e-04,3.709680306119e-03
348,4.027021266739e-03,-3.049618464588e-03,-2.629967205730e-03
349,4.296136713329e-03,-1.792028492020e-03,3.904538966818e-03
350,5.094463912112e-02,-1.173532680546e-02,-4.957457372434e-02
351,7.849950731189e-03,-2.301999699610e-03,7.504833366910e-03
352,5.353577931910e-03,-3.104883014087e-03,4.361249607838e-03
353,5.680557845418e-03,-3.434867322990e-03,4.524425257266e-03
354,2.062923980910e-02,-4.035363106465e-03,2.023070388543e-02
355,7.018237570477e-03,-3.155297296939e-03,-6.268951871213e-03
356,6.408870354031e-03,-4.099911804903e-03,4.925884936415e-03
357,3.484171337353e-03,-3.110458280681e-03,-1.569872349006e-03
358,3.420688005902e-03,-3.348232775365e-03,7.003168680649e-04
359,6.650700394345e-03,-4.347275406722e-03,5.033191062681e-03
360,3.512823202977e-02,8.340642009720e-03,-3.412369230319e-02
361,6.531445644248e-03,-4.358779207243e-03,4.864239511607e-03
362,2.637639363085e-03,-2.562394975349e-03,6.255185049244e-04
363,2.018276677455e-03,-1.356500368467e-03,-1.494438856931e-03
364,6.015003538682e-03,-4.304318312769e-03,4.201560594912e-03
365,5.770764707662e-03,1.587248584597e-03,-5.548185941539e-03
366,2.095104456388e-02,-1.319558071409e-02,1.627338065479e-02
367,5.342021277479e-03,-4.362655867093e-03,3.082924766250e-03
368,5.161722742935e-03,-4.441516845822e-03,2.629887789091e-03
369,8.231901123440e-03,-6.841418100344e-03,4.578121283057e-03
370,3.349391958529e-02,-2.550181562246e-02,2.171405188222e-02
