k,n,X,Mplus,Msm,B,E,C,C_minus_2E,R,absR_over_sqrtx,rhoA,rhoB,float_resid
5,168,28560,-595,-298,-314.9562547455083,17.956254745508296,34.912509491016635,-0.9999999999999574,16.956254745508318,0.10033462482904842,0.863368518238024,0.9346696236100228,2.1316282072803006e-14
5,171,29583,-621,-304,-323.7825455897241,6.7825455897239735,26.565091179448245,13.000000000000298,19.782545589724123,0.11501674385784415,0.8591578279133363,0.9328683003570346,1.4921397450962104e-13
5,172,29928,-643,-307,-327.3161262551576,-8.683873744841904,11.632252510315197,28.999999999999005,20.3161262551576,0.11743621774003879,0.8701818605835239,0.9394896227472982,4.973799150320701e-13
6,173,30275,-264,-131,-146.5212037484763,13.521203748476296,29.042407496952592,2.0,15.521203748476296,0.08920379358237437,0.932530470019555,0.9677678959220443,0.0
6,186,34968,-389,-205,-206.50761545409338,22.507615454093383,24.015230908186766,-21.0,1.5076154540933828,0.008062230005412934,0.9369518743304592,0.9700668269586323,0.0
6,199,39999,-512,-261,-267.2047827325258,16.204782732525842,22.409565465051628,-10.000000000000057,6.204782732525814,0.031024301468821236,0.9330604267845923,0.9680227370416876,2.842170943040401e-14
6,212,45368,-572,-287,-309.142420156555,24.142420156554948,46.28484031310995,-1.9999999999999432,22.142420156554977,0.10395616988951877,0.9187683522221555,0.9601909160228503,2.842170943040401e-14
6,225,51075,-667,-322,-354.3762999498766,9.376299949876511,41.75259989975325,23.000000000000227,32.376299949876625,0.14325936680057413,0.9259117026154711,0.9636658331892143,1.1368683772161603e-13
6,238,57120,-807,-440,-424.92645912146537,57.92645912146523,42.85291824293074,-72.99999999999972,-15.07354087853463,0.06306976077078799,0.9228963395695338,0.9621943687216257,1.4210854715202004e-13
6,251,63503,-945,-492,-496.10572314248395,43.10572314248381,47.211446284967906,-38.999999999999716,4.105723142483953,0.01629268043396075,0.9255179872762916,0.9634818167191183,1.4210854715202004e-13
6,264,70224,-1044,-495,-536.3260110721541,-12.6739889278455,28.652022144308148,53.99999999999915,41.326011072154074,0.15594832194459793,0.9241793910254182,0.9624538241147887,4.263256414560601e-13
6,277,77283,-1140,-568,-587.0729664801086,15.072966480108448,34.145932960217124,4.000000000000227,19.072966480108562,0.06860823696624957,0.9332650485528864,0.9671643474914666,1.1368683772161603e-13
6,290,84680,-1310,-654,-677.0626868655896,21.0626868655892,44.12537373117925,2.0000000000008527,23.062686865589626,0.07925368742512821,0.9299365252316979,0.9658333810144182,4.263256414560601e-13
6,303,92415,-1420,-723,-744.4786128286854,47.47861282868561,68.95722565737083,-26.000000000000398,21.478612828685414,0.07065371393344115,0.9331404850509463,0.9672027659520385,1.9895196601282805e-13
6,316,100488,-1588,-808,-815.1258157053667,35.125815705366165,42.25163141073335,-27.999999999998977,7.125815705366676,0.022479025745525093,0.9221931636934234,0.9613619248997368,5.115907697472721e-13
6,329,108899,-1694,-847,-873.7465201880872,26.746520188086635,53.49304037617435,1.0800249583553523e-12,26.746520188087175,0.08105043330926037,0.9329273115878957,0.9671602337452998,5.400124791776761e-13
6,342,117648,-1825,-875,-933.206015456308,-16.793984543692176,41.412030912616046,75.0000000000004,58.20601545630802,0.16969755926929755,0.922969077596888,0.9620535726328572,1.9895196601282805e-13
6,355,126735,-1951,-968,-1005.1729044591543,22.172904459154665,59.34580891830865,14.999999999999318,37.172904459154324,0.10441868290701443,0.9349422438850208,0.9678582850885185,3.410605131648481e-13
