type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,225,142,1,225,15.000000000000284,21.213203435596427,1.0000000000000189
complete,225,143,1,225,15.000000000000519,21.213203435596427,1.0000000000000346
complete,225,144,9,225,45.00000000000022,63.63961030678928,3.0000000000000147
complete,225,145,5,225,33.54101966249687,47.43416490252569,2.2360679774997916
complete,225,146,1,225,14.99999999999979,21.213203435596427,0.999999999999986
complete,225,147,3,225,25.980762113533068,36.742346141747674,1.7320508075688712
complete,225,148,1,225,14.999999999999273,21.213203435596427,0.9999999999999516
complete,225,149,1,225,15.000000000000984,21.213203435596427,1.0000000000000655
complete,225,150,75,225,129.9038105676662,183.71173070873834,8.660254037844414
complete,225,151,1,225,15.000000000001469,21.213203435596427,1.000000000000098
complete,225,152,1,225,15.000000000000858,21.213203435596427,1.0000000000000573
complete,225,153,9,225,44.99999999999944,63.63961030678928,2.9999999999999627
complete,225,154,1,225,14.999999999998533,21.213203435596427,0.9999999999999022
complete,225,155,5,225,33.54101966249677,47.43416490252569,2.236067977499785
complete,225,156,3,225,25.980762113533753,36.742346141747674,1.732050807568917
complete,225,157,1,225,14.999999999999508,21.213203435596427,0.9999999999999672
complete,225,158,1,225,14.999999999999961,21.213203435596427,0.9999999999999974
complete,225,159,3,225,25.9807621135328,36.742346141747674,1.7320508075688534
complete,225,160,5,225,33.54101966249608,47.43416490252569,2.2360679774997387
complete,225,161,1,225,14.999999999998462,21.213203435596427,0.9999999999998974
complete,225,162,9,225,45.00000000000161,63.63961030678928,3.0000000000001075
complete,225,163,1,225,15.000000000000359,21.213203435596427,1.000000000000024
complete,225,164,1,225,15.000000000000304,21.213203435596427,1.0000000000000202
complete,225,165,15,225,58.094750193110585,82.15838362577492,3.872983346207372
complete,225,166,1,225,14.99999999999873,21.213203435596427,0.9999999999999153
complete,225,167,1,225,14.999999999998014,21.213203435596427,0.9999999999998676
complete,225,168,3,225,25.980762113534254,36.742346141747674,1.7320508075689502
complete,225,169,1,225,15.000000000000195,21.213203435596427,1.000000000000013
complete,225,170,5,225,33.541019662497575,47.43416490252569,2.236067977499838
complete,225,171,9,225,45.00000000000111,63.63961030678928,3.0000000000000737
complete,225,172,1,225,14.999999999999812,21.213203435596427,0.9999999999999875
complete,225,173,1,225,14.999999999999378,21.213203435596427,0.9999999999999586
complete,225,174,3,225,25.98076211353507,36.742346141747674,1.7320508075690049
complete,225,175,25,225,75.00000000000045,106.06601717798213,5.00000000000003
complete,225,176,1,225,14.99999999999863,21.213203435596427,0.9999999999999087
complete,225,177,3,225,25.98076211353367,36.742346141747674,1.7320508075689114
complete,225,178,1,225,14.99999999999992,21.213203435596427,0.9999999999999947
complete,225,179,1,225,15.000000000001178,21.213203435596427,1.0000000000000786
complete,225,180,45,225,100.62305898749,142.30249470757707,6.708203932499333
complete,225,181,1,225,14.9999999999998,21.213203435596427,0.9999999999999866
complete,225,182,1,225,14.999999999999803,21.213203435596427,0.9999999999999869
complete,225,183,3,225,25.980762113533142,36.742346141747674,1.732050807568876
complete,225,184,1,225,14.999999999996845,21.213203435596427,0.9999999999997897
complete,225,185,5,225,33.54101966249817,47.43416490252569,2.236067977499878
complete,225,186,3,225,25.980762113532286,36.742346141747674,1.732050807568819
complete,225,187,1,225,15.000000000000217,21.213203435596427,1.0000000000000144
complete,225,188,1,225,14.999999999999323,21.213203435596427,0.9999999999999549
complete,225,189,9,225,44.99999999999871,63.63961030678928,2.999999999999914
complete,225,190,5,225,33.541019662496,47.43416490252569,2.2360679774997334
complete,225,191,1,225,14.999999999999742,21.213203435596427,0.9999999999999828
complete,225,192,3,225,25.98076211353338,36.742346141747674,1.732050807568892
complete,225,193,1,225,15.000000000001148,21.213203435596427,1.0000000000000766
complete,225,194,1,225,14.99999999999994,21.213203435596427,0.999999999999996
complete,225,195,15,225,58.09475019311151,82.15838362577492,3.872983346207434
complete,225,196,1,225,15.000000000000565,21.213203435596427,1.0000000000000377
complete,225,197,1,225,15.000000000001279,21.213203435596427,1.0000000000000853
complete,225,198,9,225,44.99999999999916,63.63961030678928,2.999999999999944
complete,225,199,1,225,15.000000000000162,21.213203435596427,1.0000000000000109
complete,225,200,25,225,75.00000000000058,106.06601717798213,5.000000000000039
complete,225,201,3,225,25.980762113533647,36.742346141747674,1.7320508075689098
complete,225,202,1,225,15.000000000000808,21.213203435596427,1.000000000000054
complete,225,203,1,225,15.000000000000574,21.213203435596427,1.0000000000000382
