k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_q,ratio_renewal,ratio_rawdisc
4,30,960,9,-11.0,11.0,10.327955589886445,11.248273187217023,1.0650704202070396,0.9779278842996834
4,32,1088,9,-4.0,4.0,10.994948334980428,6.6434787553964725,0.36380343755449945,0.6020941960190382
4,34,1224,9,-5.0,5.0,11.661903789690601,11.35768622870907,0.42874646285627205,0.440230509922117
4,36,1368,9,-5.0,5.0,12.328828005937952,12.98792768480837,0.40555355282690636,0.3849728856935634
4,38,1520,9,-4.0,4.0,12.995725793078618,20.164313958884833,0.30779350562554625,0.19837024994532548
4,40,1680,9,-11.0,11.0,13.662601021279464,9.991458607958691,0.8051175601825399,1.1009403563197426
4,42,1848,9,0.0,0.0,14.329456840136451,18.406729318291468,0.0,0.0
4,44,2024,9,-4.0,4.0,14.996295838935989,16.899331108487843,0.26673253468463226,0.2366957588037886
4,46,2208,9,0.0,0.0,15.663120165960974,16.11440991442555,0.0,0.0
4,47,2303,9,-4.0,4.0,15.99652740093577,16.51942625720028,0.2500542711392478,0.24213916014525808
4,14,224,10,-2.0,2.0,4.732863826479693,6.0327129776867,0.4225771273642583,0.3315258006468126
4,16,288,10,26.5,26.5,5.366563145999495,5.527816042599113,4.937983450312036,4.793936664277998
4,18,360,10,0.0,0.0,6.0,8.956208387852186,0.0,0.0
4,20,440,10,0.0,0.0,6.6332495807108,6.344855943650643,0.0,0.0
4,22,528,10,26.5,26.5,7.26636084983398,9.885579172004952,3.6469424719810695,2.680672476433708
4,24,624,10,-2.0,2.0,7.899367063252599,11.809486267451689,0.25318484177091666,0.16935537708462658
4,26,728,10,26.5,26.5,8.532291603080617,5.3147493973358735,3.105847904967532,4.986124089554187
4,28,840,10,0.0,0.0,9.16515138991168,6.649919224142252,0.0,0.0
4,30,960,10,0.0,0.0,9.797958971132712,12.84007973137426,0.0,0.0
4,32,1088,10,26.5,26.5,10.430723848324238,12.256960408052521,2.540571525556915,2.162036844191008
4,34,1224,10,-2.0,2.0,11.063453348751466,24.589973956511074,0.18077538151554678,0.08133396170069666
4,36,1368,10,26.5,26.5,11.696153213770756,17.707761345539723,2.265702194188049,1.496518926525678
4,38,1520,10,0.0,0.0,12.328828005937952,11.864357749408953,0.0,0.0
4,40,1680,10,0.0,0.0,12.96148139681572,8.426635568568145,0.0,0.0
4,42,1848,10,26.5,26.5,13.594116374373144,9.289838418150168,1.949372748489655,2.852579216902762
4,44,2024,10,-2.0,2.0,14.226735395022992,11.455026638889763,0.1405803892788833,0.17459584015370241
4,46,2208,10,26.5,26.5,14.859340496805368,15.621105328484077,1.7833900505676732,1.6964228486238397
4,47,2303,10,-9.1,9.1,15.17563837207516,17.318823724635536,0.5996452852187752,0.5254398419134845
4,14,224,15,11.6,11.6,3.8643671323171835,5.875198244589452,3.001785183139241,1.9744014613775107
4,16,288,15,-5.333333333333333,5.333333333333333,4.381780460041329,6.1393179424118784,1.2171612389003692,0.868717564941439
4,18,360,15,0.0,0.0,4.898979485566356,5.920700924567818,0.0,0.0
4,20,440,15,-5.4,5.4,5.41602560309064,5.287925383367806,0.9970410769325952,1.021194439880847
4,22,528,15,-5.333333333333333,5.333333333333333,5.932958789676531,13.227208353270214,0.8989331499509894,0.40320929336648365
4,24,624,15,6.0,6.0,6.44980619863884,6.680678238235814,0.9302605094190634,0.8981124050638962
4,26,728,15,2.2666666666666666,2.2666666666666666,6.96658692139367,8.372013505734799,0.3253625759991549,0.27074331224071824
4,28,840,15,0.0,0.0,7.483314773547883,5.973305453497986,0.0,0.0
4,30,960,15,0.0,0.0,8.0,12.02163586820592,0.0,0.0
4,32,1088,15,2.2666666666666666,2.2666666666666666,8.516650358758033,9.76665509488629,0.26614532371118854,0.23208218623932647
4,34,1224,15,6.0,6.0,9.033271832508971,16.44485024354927,0.6642111641550715,0.3648558613267754
4,36,1368,15,-5.333333333333333,5.333333333333333,9.549869109050658,11.978974436913802,0.5584718777222606,0.44522453582490357
4,38,1520,15,-5.4,5.4,10.066445913694333,10.055936294345202,0.5364356046113428,0.5369962420144413
4,40,1680,15,0.0,0.0,10.583005244258363,12.932741141713933,0.0,0.0
4,42,1848,15,-5.333333333333333,5.333333333333333,11.099549540409287,21.826649721542736,0.48049998010429806,0.2443496093708497
4,44,2024,15,11.6,11.6,11.616080807799735,21.117428208931102,0.9986156425677637,0.5493093138630424
4,46,2208,15,-5.333333333333333,5.333333333333333,12.13260071048248,17.00242759803814,0.439586982263858,0.3136806966287997
4,47,2303,15,2.2666666666666666,2.2666666666666666,12.39085684419497,25.424768775897007,0.18293058302328657,0.08915190878020864
4,14,224,25,22.2,22.2,2.9933259094191533,6.786417023035437,7.416499463069776,3.271240173518007
4,16,288,25,-13.8,13.8,3.394112549695428,6.537795697513923,4.065863991822648,2.1108031878768587
4,18,360,25,0.0,0.0,3.794733192202055,8.739914072890986,0.0,0.0
4,20,440,25,-3.0,3.0,4.1952353926806065,10.806022162994736,0.7150969419341942,0.27762297307454276
4,22,528,25,26.2,26.2,4.595650117230423,9.258029363848046,5.701043232549105,2.8299759020325816
4,24,624,25,22.2,22.2,4.995998398718719,11.393816217860692,4.443556268091168,1.9484253190954384
4,26,728,25,26.2,26.2,5.396295025292817,8.79258210770466,4.855183024130212,2.979784513702951
4,28,840,25,-3.0,3.0,5.796550698475776,13.034584272680718,0.5175491695067657,0.23015693766986664
4,30,960,25,0.0,0.0,6.196773353931867,14.692776845939242,0.0,0.0
