n,X,cnt_sf_A,corrA,signagreeA,zA,sum_mu_errA,sum_abs_errA,cnt_sf_B,corrB,signagreeB,zB,sum_mu_errB,sum_abs_errB
1300,1692600,332,-0.006235638082308871,0.4819277108433735,-0.11310423057770595,-35.95965856879883,2081.745781743936,792,-0.008446147736703975,0.5,-0.23724505841996207,-59.1619560851627,10899.538736007518
1301,1695203,332,-0.006888589586563925,0.48493975903614456,-0.12494769816169674,-38.40095982595267,2090.6114541828306,793,-0.010663792239117797,0.5006305170239597,-0.2997265541890883,-60.74203884401334,10916.97598267033
1302,1697808,332,-0.0024313427047618044,0.49698795180722893,-0.04410056232625032,-20.979641803465768,2085.7300941275244,794,-0.0044789489445291025,0.5,-0.12596919490625239,-30.829555711994203,10930.024945296895
1303,1700415,333,0.005542633052565939,0.4954954954954955,0.10068692954540236,3.075920987340737,2076.3210693345236,795,-0.0005580186161007708,0.5006289308176101,-0.015704035867403494,9.975100889923425,10941.903620724592
1304,1703024,334,0.02469692260338343,0.4940119760479042,0.44932112502269056,67.16279462726868,2082.1563185612113,795,0.009459055828816383,0.5006289308176101,0.2662014271951802,77.3881551270157,10949.628685894346
1305,1705635,335,0.013069358751908532,0.4955223880597015,0.23813504966254184,32.59438168867712,2079.398484585216,795,0.003872881617934553,0.5006289308176101,0.10899254986014413,40.60472009127406,10955.74352922742
1306,1708248,335,0.01734736737125213,0.48955223880597015,0.3160840764176151,49.119027558728135,2081.2987457118725,796,0.007944518135199091,0.5,0.2237196619468263,55.13446244703587,10976.556174721247
1307,1710863,335,0.02332876832601419,0.4835820895522388,0.42507038863479524,69.39121993507996,2101.3350676958003,797,0.008943478785007872,0.5006273525721455,0.2520093953519221,74.68038080659463,10995.965297478144
1308,1713480,335,0.0008699814000741663,0.49850746268656715,0.015851815520933312,-14.332341514497045,2091.8945527395185,797,-0.004652497143693844,0.5006273525721455,-0.1310980906025371,-18.241607032210624,10993.638902393048
1309,1716099,335,0.009178132620747341,0.5014925373134328,0.1672335352437925,17.261153317618493,2088.410989176905,798,-0.001272882521820897,0.5012531328320802,-0.035889870185247474,18.82543097679516,11009.934348810259
1310,1718720,336,0.006894714682095031,0.4880952380952381,0.12581673637603397,2.80223101833883,2100.915332594144,799,-0.00359787304802838,0.5018773466833542,-0.10150849035378423,16.540594523170597,11027.921448131368
1311,1721343,336,0.006563546343311647,0.4732142857142857,0.11977348128891595,1.7831541152321506,2085.277517395094,800,-0.004834843793296614,0.5025,-0.1364933861436015,21.498495002369168,11036.970480578573
1312,1723968,337,-0.0005270145152609569,0.4836795252225519,-0.009631541723149914,-31.404965002849792,2099.617075859378,800,-0.008798399267803054,0.5025,-0.24838926758520552,-7.556103498738935,11043.676357553763
1313,1726595,338,-0.005050527983774021,0.47633136094674555,-0.09243984003927257,-55.2049748207242,2106.355764918941,801,-0.0135332740923841,0.50187265917603,-0.3823000223807953,-54.81744005154545,11066.973057360976
1314,1729224,338,-0.009362117512212645,0.4911242603550296,-0.1713548856749651,-72.0190071810336,2106.82019506423,801,-0.016462532840319035,0.50187265917603,-0.46504834161604,-75.09858800167814,11062.45785597648
1315,1731855,339,-0.022619168150820726,0.4749262536873156,-0.4146162008322811,-120.70236314706818,2111.9629145526897,802,-0.02199094503796391,0.5012468827930174,-0.6216089842228287,-130.7596031341123,11078.352613467781
1316,1734488,339,-0.021862705905414098,0.4808259587020649,-0.40075001883247263,-116.675314715159,2108.065423214885,802,-0.022217131245119075,0.5012468827930174,-0.6280024965631221,-130.96269752140586,11091.06024471869
1317,1737123,340,-0.023415730936581124,0.47352941176470587,-0.4298556797742704,-115.12935965937271,2094.951951191956,803,-0.024714015536639336,0.5006226650062267,-0.6990179190522947,-159.86337725860088,11108.5981123187
1318,1739760,340,-0.027531941583850493,0.4764705882352941,-0.505419262677927,-130.69441816907045,2107.574632157083,804,-0.02334042748937914,0.5,-0.6605794576468142,-163.5433289386215,11121.3399838462
1319,1742399,341,-0.0318658655950229,0.44868035190615835,-0.5858468109161146,-155.4332420861682,2111.540996165653,805,-0.02646354802184315,0.5006211180124224,-0.7494372140955688,-173.73301827461012,11133.57319339464
1320,1745040,341,-0.03717008215523274,0.4838709677419355,-0.68336364587988,-177.8126663795564,2120.5541988998866,805,-0.02978217751837569,0.5006211180124224,-0.843419488975863,-198.4905141129097,11145.865245269975
1321,1747683,341,-0.024220122444543767,0.47214076246334313,-0.44528153336434034,-123.88600269663664,2122.334174450136,806,-0.021024789353124206,0.5012406947890818,-0.5957848094544084,-119.83766456521099,11163.999782862207
1322,1750328,342,-0.018969305555877992,0.4853801169590643,-0.3492619554994465,-96.2215901490838,2117.1381497926054,807,-0.016457462834005756,0.5006195786864932,-0.46664961017649564,-100.10422167245221,11180.797907974662
1323,1752975,343,-0.015917422066809146,0.5014577259475219,-0.2935027607808835,-89.33443280883716,2127.9358869231487,807,-0.0177378262715009,0.5006195786864932,-0.502954179417678,-107.34954884567028,11190.559785719015
1324,1755624,344,-0.016324546967784133,0.5,-0.30145210945166073,-86.52485072904818,2127.770346665327,807,-0.0185771529690489,0.5006195786864932,-0.526753198754498,-115.00789753449527,11215.584389115964
1325,1758275,344,-0.023547477780437812,0.49127906976744184,-0.43483208833835213,-114.8978231689793,2136.9140062123543,807,-0.022253242568445956,0.5006195786864932,-0.6309883287885097,-140.92566846531452,11218.830921110839
1326,1760928,345,-0.0369422314617515,0.4782608695652174,-0.683181626771226,-175.9430009168936,2141.3325652724766,808,-0.03183430231834013,0.5,-0.9032194402784175,-225.0384240848133,11237.853059779158
1327,1763583,345,-0.0444754539266809,0.48985507246376814,-0.8224953329220998,-211.8778698450859,2121.8331909526732,809,-0.03897012189982407,0.5006180469715699,-1.1063671827720853,-268.55275948269264,11259.243598036117
1328,1766240,346,-0.036167621627215124,0.4884393063583815,-0.6698337263680473,-181.68844565129348,2124.7022763080845,809,-0.03452552494320545,0.5006180469715699,-0.9801844567828776,-233.73117610142842,11254.02340960909
1329,1768899,346,-0.03272344643909901,0.49421965317919075,-0.6060467092315869,-166.23625868627977,2123.7149771718855,810,-0.03255013068871459,0.5,-0.9246758260800843,-231.67907019508715,11268.782407024806
1330,1771560,346,-0.03132672290533048,0.5057803468208093,-0.5801790273869468,-163.13960503101737,2134.2664765758227,811,-0.03049305260343133,0.499383477188656,-0.866775412501479,-234.3851366311429,11283.717195428584
1331,1774223,347,-0.037535846352262627,0.4783861671469741,-0.6961862379528553,-183.7901584911611,2140.0992815298296,811,-0.03298342019002073,0.499383477188656,-0.9375649598852472,-253.37053217793994,11289.627370389137
1332,1776888,348,-0.032187842445788074,0.49137931034482757,-0.5978626384493618,-169.1662233866499,2143.5821294614266,811,-0.03289675155770275,0.499383477188656,-0.9351013744743231,-254.57635513778752,11298.420075707854
1333,1779555,349,-0.037971079354841515,0.49570200573065903,-0.7063029039375376,-183.98858253298687,2145.8646639326585,812,-0.03523798256166351,0.4987684729064039,-1.0022713059586341,-281.58672928389535,11308.85418489739
1334,1782224,349,-0.02355335245113161,0.5071633237822349,-0.4381176810444663,-125.8066307818138,2160.02964417797,813,-0.02646136457378737,0.4993849938499385,-0.753103638443329,-205.37565800273634,11322.131741263656
1335,1784895,349,-0.03292332653323135,0.49570200573065903,-0.6124092739212612,-163.71779503551852,2155.5325466547597,814,-0.033093780105665084,0.5,-0.942446712787622,-238.78249630371147,11335.114517241094
1336,1787568,350,-0.02914875893207523,0.49142857142857144,-0.5429812161633601,-153.68433092140953,2152.8117722862307,814,-0.03285615816104183,0.5,-0.9356797003798115,-236.15329904307768,11342.944795971249
1337,1790243,351,-0.03896461559630158,0.47863247863247865,-0.7268754786492022,-193.81042552193304,2156.182146462908,815,-0.03733450336222076,0.49938650306748467,-1.0638695853997249,-289.6030371424972,11352.916951706715
1338,1792920,351,-0.044122124136273366,0.4843304843304843,-0.8230875528929213,-211.37418293762863,2166.6530894125676,816,-0.04042022628253384,0.5,-1.1525081714202714,-293.518227831903,11381.143944605847
1339,1795599,351,-0.04804696212974546,0.47293447293447294,-0.8963044562670789,-226.40890917897565,2169.6104654797873,817,-0.04192179632416642,0.49938800489596086,-1.1960575754262597,-317.1559015545028,11408.267182594707
1340,1798280,352,-0.048708302736293736,0.48863636363636365,-0.9099461883277514,-225.4856938387341,2188.7497354381208,817,-0.03776709026675189,0.49938800489596086,-1.0775209646566632,-289.185984241802,11403.483722710735
1341,1800963,352,-0.03329060298967943,0.48863636363636365,-0.6219197877124848,-159.8402955938817,2195.017873759742,817,-0.028294029791840255,0.49938800489596086,-0.8072480580312948,-218.45501863401788,11404.960172821497
1342,1803648,352,-0.034192500300611044,0.45454545454545453,-0.6387686199287994,-165.9991011649102,2179.435707064208,818,-0.027931263781801705,0.5,-0.7973874400851815,-204.47498551845567,11429.968251370408
1343,1806335,353,-0.027475627046091546,0.4702549575070821,-0.5140219144662717,-144.1768282440242,2184.689226157299,819,-0.02372983936889683,0.4993894993894994,-0.6778597978951806,-188.15688220570252,11438.534894555094
1344,1809024,353,-0.027385860167770015,0.47592067988668557,-0.5123425299494746,-143.9600132208621,2186.089391809514,819,-0.02608306978289674,0.4993894993894994,-0.7450815042049831,-205.50925931312491,11454.865498562096
1345,1811715,354,-0.02563715420774841,0.4717514124293785,-0.48031193013605966,-139.98535019740734,2189.178068584435,820,-0.026850285930972495,0.49878048780487805,-0.7674674111568245,-221.65750328457884,11469.218540988048
1346,1814408,355,-0.02059931140762217,0.48169014084507045,-0.3864773394712864,-115.11784134978382,2200.1890503524764,821,-0.020424514574341242,0.4981729598051157,-0.5841553995288726,-191.4068663477606,11471.66258749004
1347,1817103,356,-0.021331033456672744,0.4887640449438202,-0.4007737327724726,-123.20644327087501,2202.847903057565,822,-0.02236989902862193,0.4975669099756691,-0.6401857084542394,-218.4513468386797,11502.228011256455
1348,1819800,356,-0.033017862917576836,0.4803370786516854,-0.620349323277051,-175.15252855981936,2212.944958592924,822,-0.028960625805468272,0.4975669099756691,-0.8288002876021018,-270.5702559006389,11499.054713607842
1349,1822499,356,-0.02959797100702979,0.49719101123595505,-0.5560953878335447,-157.98753748351044,2190.035575142336,823,-0.024941992832727,0.49696233292831105,-0.714229980681013,-251.90415621622776,11504.732422435154
1350,1825200,356,-0.022001763302349223,0.5,-0.4133756024605808,-123.31183709040045,2208.5153610264188,823,-0.020403817185589028,0.49696233292831105,-0.5842764069421332,-214.9767686547268,11523.874113507913
1351,1827903,357,-0.009113133042046152,0.49859943977591037,-0.17146257498381332,-77.27614333606243,2203.8224093240656,824,-0.012936617446739268,0.4963592233009709,-0.37067416184683266,-175.75101025515366,11533.014492675735
1352,1830608,358,-0.0024204298476576333,0.5,-0.04560439265946148,-44.59422288331666,2225.888170379265,824,-0.01073705651264928,0.4963592233009709,-0.30764992780485384,-159.9077345408835,11522.39764750646
1353,1833315,358,-0.007282488669109653,0.4972067039106145,-0.13721260011958533,-64.09930845694356,2227.5288974968566,825,-0.012999426684925965,0.49696969696969695,-0.3727006136034941,-162.0416747644441,11549.206416847446
1354,1836024,359,-0.003348094299500522,0.48746518105849584,-0.06317171689966838,-54.40555413233909,2222.496140953201,826,-0.009251442886201755,0.4963680387409201,-0.2654051768095066,-149.77460257387432,11567.038127728998
1355,1838735,360,-0.02250219705681185,0.46111111111111114,-0.42516649378912996,-129.05196418305263,2228.17404915037,827,-0.019744647292551175,0.4957678355501814,-0.5667780021196771,-242.5992273868165,11578.489773762154
1356,1841448,360,-0.018538732658580106,0.5027777777777778,-0.35027903914637937,-113.9039744867327,2237.881943386541,827,-0.0176933775885253,0.4957678355501814,-0.507895484370423,-229.3060294631832,11584.394148024658
1357,1844163,361,-0.021551980867881498,0.5069252077562327,-0.4077826146367349,-129.7422829152233,2258.7152605271417,828,-0.01876701113962125,0.49516908212560384,-0.5390413558991565,-248.12014540095845,11622.572808095261
1358,1846880,361,-0.01639532778182679,0.4903047091412742,-0.31021415950972936,-108.99728240591708,2244.577230158974,829,-0.016259674959324604,0.4957780458383595,-0.4673065659721305,-216.69330689696443,11620.214575600916
1359,1849599,362,-0.023854053827639995,0.48342541436464087,-0.45196980248716695,-132.87609793857035,2237.355518680491,829,-0.018340854935712435,0.4957780458383595,-0.5271201274589804,-230.54283467002122,11624.601864345728
1360,1852320,362,-0.026161348254803877,0.4861878453038674,-0.49568679139228394,-141.23589434123664,2243.1770527292365,829,-0.020245166987750224,0.4957780458383595,-0.5818504666449297,-243.14861818119184,11634.840876345444
1361,1855043,363,-0.01385294276155791,0.4903581267217631,-0.26284110853479503,-85.60177235117709,2258.1457690259476,830,-0.013388038158930136,0.4963855421686747,-0.3850079491011708,-180.2111897484982,11646.8573474062
